:START_ID,:END_ID,relation,:TYPE
2056,3063,cooperate,cooperate
2056,3162,cooperate,cooperate
2015,3097,cooperate,cooperate
2015,3144,cooperate,cooperate
2051,3091,cooperate,cooperate
2051,3136,cooperate,cooperate
2008,3036,cooperate,cooperate
2008,3052,cooperate,cooperate
2028,3147,cooperate,cooperate
2028,3104,cooperate,cooperate
2010,3004,cooperate,cooperate
2010,3032,cooperate,cooperate
2064,3025,cooperate,cooperate
2064,3067,cooperate,cooperate
2026,3019,cooperate,cooperate
2026,3009,cooperate,cooperate
2015,3140,cooperate,cooperate
2015,3089,cooperate,cooperate
2009,3057,cooperate,cooperate
2009,3146,cooperate,cooperate
2049,3086,cooperate,cooperate
2049,3016,cooperate,cooperate
2036,3053,cooperate,cooperate
2036,3168,cooperate,cooperate
2068,3123,cooperate,cooperate
2068,3145,cooperate,cooperate
2046,3100,cooperate,cooperate
2046,3105,cooperate,cooperate
2071,3103,cooperate,cooperate
2071,3107,cooperate,cooperate
2052,3097,cooperate,cooperate
2052,3033,cooperate,cooperate
2054,3000,cooperate,cooperate
2054,3167,cooperate,cooperate
2043,3066,cooperate,cooperate
2043,3099,cooperate,cooperate
2028,3104,cooperate,cooperate
2028,3066,cooperate,cooperate
2058,3121,cooperate,cooperate
2058,3169,cooperate,cooperate
2029,3148,cooperate,cooperate
2029,3039,cooperate,cooperate
2052,3079,cooperate,cooperate
2052,3126,cooperate,cooperate
2049,3098,cooperate,cooperate
2049,3163,cooperate,cooperate
2017,3064,cooperate,cooperate
2017,3095,cooperate,cooperate
2015,3020,cooperate,cooperate
2015,3065,cooperate,cooperate
2015,3140,cooperate,cooperate
2015,3096,cooperate,cooperate
2003,3041,cooperate,cooperate
2003,3114,cooperate,cooperate
2018,3150,cooperate,cooperate
2018,3132,cooperate,cooperate
2024,3117,cooperate,cooperate
2024,3080,cooperate,cooperate
2022,3113,cooperate,cooperate
2022,3076,cooperate,cooperate
2069,3021,cooperate,cooperate
2069,3109,cooperate,cooperate
2045,3056,cooperate,cooperate
2045,3141,cooperate,cooperate
2045,3129,cooperate,cooperate
2063,3115,cooperate,cooperate
2063,3149,cooperate,cooperate
2033,3124,cooperate,cooperate
2033,3018,cooperate,cooperate
2023,3012,cooperate,cooperate
2023,3154,cooperate,cooperate
2001,3081,cooperate,cooperate
2001,3074,cooperate,cooperate
2071,3171,cooperate,cooperate
2071,3026,cooperate,cooperate
2047,3071,cooperate,cooperate
2047,3069,cooperate,cooperate
2071,3082,cooperate,cooperate
2071,3042,cooperate,cooperate
2030,3060,cooperate,cooperate
2030,3153,cooperate,cooperate
2075,3169,cooperate,cooperate
2075,3008,cooperate,cooperate
2027,3128,cooperate,cooperate
2027,3077,cooperate,cooperate
2039,3125,cooperate,cooperate
2039,3119,cooperate,cooperate
2002,3001,cooperate,cooperate
2002,3062,cooperate,cooperate
2004,3093,cooperate,cooperate
2004,3014,cooperate,cooperate
2044,3083,cooperate,cooperate
2044,3073,cooperate,cooperate
2025,3106,cooperate,cooperate
2025,3038,cooperate,cooperate
2033,3124,cooperate,cooperate
2033,3024,cooperate,cooperate
2014,3022,cooperate,cooperate
2014,3023,cooperate,cooperate
2068,3091,cooperate,cooperate
2068,3143,cooperate,cooperate
2057,3170,cooperate,cooperate
2057,3159,cooperate,cooperate
2031,3112,cooperate,cooperate
2031,3130,cooperate,cooperate
