:START_ID,:END_ID,relation,:TYPE
3063,1000,acted,acted
3162,1000,acted,acted
3097,1001,acted,acted
3144,1001,acted,acted
3091,1002,acted,acted
3136,1002,acted,acted
3036,1003,acted,acted
3052,1003,acted,acted
3147,1004,acted,acted
3104,1004,acted,acted
3004,1005,acted,acted
3032,1005,acted,acted
3025,1006,acted,acted
3067,1006,acted,acted
3019,1007,acted,acted
3009,1007,acted,acted
3140,1008,acted,acted
3089,1008,acted,acted
3057,1009,acted,acted
3146,1009,acted,acted
3086,1010,acted,acted
3016,1010,acted,acted
3053,1011,acted,acted
3168,1011,acted,acted
3123,1012,acted,acted
3145,1012,acted,acted
3100,1013,acted,acted
3105,1013,acted,acted
3103,1014,acted,acted
3107,1014,acted,acted
3097,1015,acted,acted
3033,1015,acted,acted
3000,1016,acted,acted
3167,1016,acted,acted
3066,1017,acted,acted
3099,1017,acted,acted
3104,1018,acted,acted
3066,1018,acted,acted
3121,1019,acted,acted
3169,1019,acted,acted
3148,1020,acted,acted
3039,1020,acted,acted
3079,1021,acted,acted
3126,1021,acted,acted
3098,1022,acted,acted
3163,1022,acted,acted
3064,1023,acted,acted
3095,1023,acted,acted
3020,1024,acted,acted
3065,1024,acted,acted
3140,1025,acted,acted
3096,1025,acted,acted
3041,1026,acted,acted
3114,1026,acted,acted
3150,1027,acted,acted
3132,1027,acted,acted
3117,1028,acted,acted
3080,1028,acted,acted
3113,1029,acted,acted
3076,1029,acted,acted
3021,1030,acted,acted
3109,1030,acted,acted
3056,1031,acted,acted
3141,1031,acted,acted
3129,1031,acted,acted
3115,1032,acted,acted
3149,1032,acted,acted
3124,1033,acted,acted
3018,1033,acted,acted
3012,1034,acted,acted
3154,1034,acted,acted
3081,1035,acted,acted
3074,1035,acted,acted
3171,1036,acted,acted
3026,1036,acted,acted
3071,1037,acted,acted
3069,1037,acted,acted
3082,1038,acted,acted
3042,1038,acted,acted
3060,1039,acted,acted
3153,1039,acted,acted
3169,1040,acted,acted
3008,1040,acted,acted
3128,1041,acted,acted
3077,1041,acted,acted
3125,1042,acted,acted
3119,1042,acted,acted
3001,1043,acted,acted
3062,1043,acted,acted
3093,1044,acted,acted
3014,1044,acted,acted
3083,1045,acted,acted
3073,1045,acted,acted
3106,1046,acted,acted
3038,1046,acted,acted
3124,1047,acted,acted
3024,1047,acted,acted
3022,1048,acted,acted
3023,1048,acted,acted
3091,1049,acted,acted
3143,1049,acted,acted
3170,1050,acted,acted
3159,1050,acted,acted
3112,1051,acted,acted
3130,1051,acted,acted
3068,1052,acted,acted
3127,1052,acted,acted
3104,1053,acted,acted
3155,1053,acted,acted
3002,1054,acted,acted
3165,1054,acted,acted
3110,1055,acted,acted
3050,1055,acted,acted
3142,1056,acted,acted
3137,1056,acted,acted
3072,1057,acted,acted
3047,1057,acted,acted
3064,1058,acted,acted
3131,1058,acted,acted
3174,1059,acted,acted
3090,1059,acted,acted
3085,1060,acted,acted
3094,1060,acted,acted
3003,1061,acted,acted
3111,1061,acted,acted
3010,1062,acted,acted
3108,1062,acted,acted
3138,1063,acted,acted
3054,1063,acted,acted
3084,1064,acted,acted
3011,1064,acted,acted
3148,1065,acted,acted
3092,1065,acted,acted
3093,1066,acted,acted
3173,1066,acted,acted
3151,1067,acted,acted
3157,1067,acted,acted
3058,1068,acted,acted
3164,1068,acted,acted
3172,1069,acted,acted
3122,1069,acted,acted
3034,1070,acted,acted
3075,1070,acted,acted
3169,1071,acted,acted
3072,1071,acted,acted
3158,1072,acted,acted
3088,1072,acted,acted
3030,1073,acted,acted
3043,1073,acted,acted
3051,1074,acted,acted
3031,1074,acted,acted
3167,1075,acted,acted
3035,1075,acted,acted
3167,1076,acted,acted
3162,1076,acted,acted
3055,1077,acted,acted
3029,1077,acted,acted
3015,1078,acted,acted
3027,1078,acted,acted
3013,1079,acted,acted
3134,1079,acted,acted
3059,1080,acted,acted
3070,1080,acted,acted
3009,1081,acted,acted
3160,1081,acted,acted
3102,1082,acted,acted
3017,1082,acted,acted
3139,1083,acted,acted
3135,1083,acted,acted
3045,1084,acted,acted
3118,1084,acted,acted
3009,1085,acted,acted
3007,1085,acted,acted
3156,1086,acted,acted
3087,1086,acted,acted
3005,1087,acted,acted
3046,1087,acted,acted
3120,1088,acted,acted
3101,1088,acted,acted
3167,1089,acted,acted
3118,1089,acted,acted
3133,1090,acted,acted
3049,1090,acted,acted
3078,1091,acted,acted
3061,1091,acted,acted
3048,1092,acted,acted
3028,1092,acted,acted
3044,1093,acted,acted
3116,1093,acted,acted
3037,1094,acted,acted
3161,1094,acted,acted
3057,1095,acted,acted
3027,1095,acted,acted
3091,1096,acted,acted
3040,1096,acted,acted
3166,1097,acted,acted
3019,1097,acted,acted
3066,1098,acted,acted
3006,1098,acted,acted
3137,1099,acted,acted
3152,1099,acted,acted
