:START_ID,:END_ID,relation,:TYPE
2056,1000,directed,directed
2015,1001,directed,directed
2051,1002,directed,directed
2008,1003,directed,directed
2028,1004,directed,directed
2010,1005,directed,directed
2064,1006,directed,directed
2026,1007,directed,directed
2015,1008,directed,directed
2009,1009,directed,directed
2049,1010,directed,directed
2036,1011,directed,directed
2068,1012,directed,directed
2046,1013,directed,directed
2071,1014,directed,directed
2052,1015,directed,directed
2054,1016,directed,directed
2043,1017,directed,directed
2028,1018,directed,directed
2058,1019,directed,directed
2029,1020,directed,directed
2052,1021,directed,directed
2049,1022,directed,directed
2017,1023,directed,directed
2015,1024,directed,directed
2015,1025,directed,directed
2003,1026,directed,directed
2018,1027,directed,directed
2024,1028,directed,directed
2022,1029,directed,directed
2069,1030,directed,directed
2045,1031,directed,directed
2063,1032,directed,directed
2033,1033,directed,directed
2023,1034,directed,directed
2001,1035,directed,directed
2071,1036,directed,directed
2047,1037,directed,directed
2071,1038,directed,directed
2030,1039,directed,directed
2075,1040,directed,directed
2027,1041,directed,directed
2039,1042,directed,directed
2002,1043,directed,directed
2004,1044,directed,directed
2044,1045,directed,directed
2025,1046,directed,directed
2033,1047,directed,directed
2014,1048,directed,directed
2068,1049,directed,directed
2057,1050,directed,directed
2031,1051,directed,directed
2000,1052,directed,directed
2040,1053,directed,directed
2041,1054,directed,directed
2048,1055,directed,directed
2020,1056,directed,directed
2072,1057,directed,directed
2016,1058,directed,directed
2071,1059,directed,directed
2012,1060,directed,directed
2066,1061,directed,directed
2005,1062,directed,directed
2060,1063,directed,directed
2019,1064,directed,directed
2029,1065,directed,directed
2034,1066,directed,directed
2073,1067,directed,directed
2061,1068,directed,directed
2067,1069,directed,directed
2011,1070,directed,directed
2075,1071,directed,directed
2055,1072,directed,directed
2062,1073,directed,directed
2037,1074,directed,directed
2054,1075,directed,directed
2054,1076,directed,directed
2021,1077,directed,directed
2032,1078,directed,directed
2020,1079,directed,directed
2074,1080,directed,directed
2066,1081,directed,directed
2076,1082,directed,directed
2037,1083,directed,directed
2006,1084,directed,directed
2038,1085,directed,directed
2059,1086,directed,directed
2014,1087,directed,directed
2005,1088,directed,directed
2007,1089,directed,directed
2070,1090,directed,directed
2075,1091,directed,directed
2013,1092,directed,directed
2065,1093,directed,directed
2035,1094,directed,directed
2050,1095,directed,directed
2056,1096,directed,directed
2026,1097,directed,directed
2042,1098,directed,directed
2053,1099,directed,directed
